image_00001,image_00333,image_00524,image_00539,image_00762,image_00968,image_01335,image_01354,image_01377,image_01705,image_01726,image_01807,image_02190,image_02442,image_02468,image_02524,image_02582,image_02606,image_02889,image_07919
Green;Purple,Yellow;Green,Pink;Gray,Pink;Gray,Red;Yellow,Orange;Green,Red;Green,Pink;White,Red;Purple,Red;Yellow,Yellow;Green,Red;Green,Orange;Green,Green;Purple,Blue;Brown,Purple;White,Yellow;Purple,Red;Yellow,Pink,Red;Yellow
Green;Purple,Yellow;Green,Pink;Gray,Purple;Pink,Red;Green,Orange;Brown,Red;Green,Pink;White,Pink;White,Red;Green,Yellow;Green,Red;Green,Orange;Yellow,Purple;Gray,Blue;Brown,Green;White,Green;Purple,Red;Yellow,Green;Pink,Red;Green
Purple;White,Yellow;Pink,Pink;White,Green;Pink,Red;Yellow,Orange;Brown,Red;Green,Pink;White,Purple;Pink,Red;Yellow,Yellow;Black,Red;White,Orange;Green,Purple;Gray,Orange;Blue,Purple;White,Yellow;Purple,Red;Yellow,Green;Pink,Red;Yellow
Green;Purple,Yellow;Green,Pink;Gray,Yellow;Pink,Red;Yellow,Orange;Green,Red;Green,Pink;White,Red;Purple,Red;Green,Yellow;Black,Red;White,Orange;Yellow,Purple;Brown,Orange;Blue,Green;White,Green;Purple,Yellow;Green,Green;Pink,Red;Yellow
Green;Purple,Green;White,Red;Gray,Green;Pink,Red;Yellow,Orange;Green,Red;Green,Pink;White,Red;Purple,Red;Green,Yellow;Green,Red;Green,Orange;Green,Purple;Gray,Orange;Blue,Green;White,Green;Purple,Yellow;Green,Green;Pink,Red;Green
Green;Purple,Yellow;Pink,Pink;White,Green;Pink,Red;Green,Orange;Green,Red;Green,Pink;White,Purple;Pink,Green;Pink,Yellow;Green,Red;Green,Orange;Green,Green;Purple,Orange;Blue,Purple;White,Yellow;Purple,Yellow;Pink,Green;Pink,Red;Yellow
Green;White,Yellow;Green,Pink;White,Green;Pink,Red;Green,Orange;Green,Red;Green,Pink;White,Red;Purple,Red;Green,Yellow;Green,Red;Green,Orange;Green,Purple;Gray,Blue;Brown,Purple;White,Green;Purple,Red;Yellow,Green;Pink,Red;Yellow
Purple;White,Green;White,Pink;Gray,Green;Pink,Red;Green,Orange;Brown,Red;Green,Pink;White,Purple;Pink,Red;Green,Yellow;Green,Red;Green,Orange;Green,Purple;Gray,Blue;Brown,Purple;White,Yellow;Purple,Red;Yellow,Green;Pink,Orange;Green
Green;White,Yellow;Green,Pink;White,Green;Pink,Red;Green,Yellow;Green,Red;Green,Pink;White,Red;Purple,Green;Pink,Yellow;Green,Red;Green,Orange;Green,Purple;Gray,Orange;Blue,Green;White,Yellow;Purple,Red;Yellow,Green;Pink,Red;Yellow
Green;Purple,Yellow;Green,Pink;Gray,Green;Pink,Red;Green,Orange;Brown,Red;Green,Pink;White,Purple;Pink,Green;Pink,Yellow;Green,Red;Green,Orange;Green,Green;Purple,Orange;Blue,Green;White,Green;Purple,Red;Green,Green;Pink,Green;Pink
Green;White,Yellow;Green,Pink;White,Green;Pink,Red;Green,Orange;Brown,Red;Green,Pink;White,Purple;Pink,Red;Green,Yellow;Black,Red;Green,Orange;Yellow,Purple;Gray,Blue;Brown,Green;White,Green;Purple,Yellow;Green,Green;Pink,Red;Green
Green;Purple,Yellow;Green,Pink;Gray,Green;Pink,Red;Green,Orange;Green,Red;Green,Pink;White,Red;Purple,Green;Pink,Yellow;Green,Red;Green,Orange;Green,Purple;Gray,Blue;Brown,Green;Purple,Green;Purple,Red;Yellow,Green;Pink,Red;Yellow
Green;White,Yellow;Green,Pink;White,Purple;Pink,Red;Yellow,Orange;Green,Red;Green,Pink;White,Red;Purple,Red;Green,Yellow;Green,Red;White,Orange;Green,Purple;Gray,Blue;Brown,Blue;White,Yellow;Purple,Red;Green,Green;Pink,Red;Yellow
Green;Purple,Yellow;Green,Pink;Gray,Green;Pink,Red;Yellow,Orange;Green,Red;Green,Pink;White,Red;Purple,Green;Pink,Yellow;Green,Red;Green,Orange;Green,Purple;Gray,Blue;Brown,Purple;White,Yellow;Purple,Red;Yellow,Green;Pink,Red;Yellow
Purple;White,Yellow;White,Red;Green,Green;Pink,Red;Yellow,Orange;Green,Red;Green,Pink;White,Red;Purple,Red;Yellow,Yellow;Blue,Red;Green,Orange;Yellow,Purple;Gray,Blue;Brown,Purple;White,Yellow;Purple,Red;Yellow,Green;Pink,Red;Yellow
Green;Purple,Green;White,Pink;White,Green;Pink,Red;Green,Orange;Brown,Red;Green,Pink;White,Red;Purple,Red;Green,Yellow;Green,Red;Green,Orange;Green,Green;Purple,Blue;Brown,Blue;White,Green;Purple,Red;Green,Green;Pink,Red;Orange
Purple;White,Green;White,Pink;Brown,Pink;Brown,Red;Green,Orange;Brown,Red;Green,Pink;White,Red;Purple,Yellow;Pink,Orange;Yellow,Red;Green,Orange;Brown,Purple;Pink,Blue;Brown,Purple;White,Yellow;Purple,Red;Yellow,Green;Pink,Red;Yellow
Green;Purple,Yellow;Green,Pink;White,Green;Pink,Red;Green,Orange;Green,Red;Green,Pink;White,Red;Pink,Green;Pink,Yellow;Green,Red;Green,Orange;Green,Green;Pink,Blue;Brown,Green;White,Green;Purple,Red;Green,Green;Pink,Red;Green